pdf_name,title,author,author_place,journal,volume,year,pages
Dercksen 2016 Kaspam lasqul PIHANS 128 11-22.pdf,"Silver, Money and Credit. A tribute to robartus j. van der Spek on the occasion of his 65th birthday","Kristin Kleber, Reinhard Pirngruber",Leiden,PIHANS,128,2016,1-294
Dercksen 2018 Money silver and trust in Mesopotamia.pdf,"MONEY, CURRENCY AND CRISIS IN SEARCH OF TRUST, 2000 BC TO AD 2000",R.J. van der Spek and Bas van Leeuwen,,Routledge,,2018,
Dercksen 2019 The second Practical Vocabulary from Kültepe (Kt n k 1697).pdf,The second Practical Vocabulary from Költepe,S. Çeçen and H. Erol,,Archivum Anatolicum,2-Dec,2018,
Dercksen 2021 Money in the Old Assyrian period.pdf,"Merchants, Measures and Money","Lorenz Rahmstorf, Gojko Barjamovic & Nicola Lalongo",,,2,2021,331
Dercksen 2022 The Golden Interval of Old Assyrian.pdf,Economic Growth in Antiquity,David A. W. Whittaker,Berlin,Proceedings of the Berlin Workshop,,2016,1–293
"Dercksen, J. G - Review of The Ancient Near East. Historical Sources in Translation. BiOr 64, 2007 320-325.pdf",The Ancient Near East. Historical Sources in Translation,M.W. Chavalas,Oxford,,,2006,445
"Dercksen, J. G. & Donbaz, V. - Merchants in Distress. An Old Assyrian Text Mentioning habbatu. JEOL 35-36, 1997-00 103-110.pdf",MERCHANTS IN DISTRESS AN OLD ASSYRIAN TEXT MENTIONING habbatu,"J.G. DERCKSEN, V. DONBAZ","Leiden, Istanbul","JAARBERICHT ""EX ORIENTE LUX""",35-36,1997-2000,104-105
"Dercksen, J. G. - Adad is King. The Sargon Text from Kültepe. JEOL 39, 2005 107-130.pdf",ADAD IS KING! THE SARGON TEXT FROM KÜLTEPE,J.G. DERCKSEN,Leiden,,,2005,
"Dercksen, J. G. - Die Altassyrischen Handelsabgaben in Nordmesopotamien und Anatolien im 19.-18. Jh. v.Chr. in Vertragen und Praxis. CHANE 29, 2007 187-211.pdf",DIE ALTASSYRISCHEN HANDELSABGABEN IN NORDMESOPOTAMIEN UND ANATOLIEN IM 19.–18. JH. V.CHR. IN VERTRÄGEN UND PRAXIS,Jan Gerrit Dercksen,Leiden,,,2007,
"Dercksen, J. G. - Old Assyrian Institutions (OAI). MOS 4. PIHANS 98, 2004.pdf",Old Assyrian Institutions,J.G. Dercksen,Leiden,,4,2004,
"Dercksen, J. G. - Old Assyrian Institutions, MOS 4. PIHANS 98, 2004 (2).pdf",Old Assyrian Institutions,J.G. Dercksen,Leiden,MOS Studies,4,2004,
"Dercksen, J. G. - On Anatolian Loanwords in Akkadian Texts from Kültepe. ZA 97, 2007, pp. 26-46.pdf",On Anatolian Loanwords in Akkadian Texts from Kültepe,J. G. Dercksen,Leiden,Zeitschrift für Assyriologie,97,2007,26–46
"Dercksen, J. G. - Review of ICK 4. AfO 48-49, 2001-2002 183-196.pdf",Kappadokische Keilschrifttafeln aus den Sammlungen der Karlsuniversitat Prag,"Karl Hecker, Guido Kryszat, Lubor Matou§",Praha,Archiv für Orientforschung,48/49,2001/2002,183–183
"Dercksen, J. G. - Subsistence, surplus and the market for grain and meat at ancient Kanesh. AoF 35 1, 2008, pp. 86-102.pdf","Subsistence, surplus and the market for grain and meat at ancient Kanesh",Jan Gerrit Dercksen,,Altoriental. Forsch.,35,2008,86–102
"Dercksen, J. G. - The Assyrian Colony at Kanesh. CDOG 8, 2008 109-124.pdf",The Assyrian Colony at Kanesh,Jan Gerrit Dercksen,Leiden,,,2008,
"Dercksen, J. G. - The Old Assyrian Copper Trade in Anatolia. (OACTA) PIHANS 75, 1996.pdf",The Old Assyrian Copper Trade in Anatolia,Jan Gerrit Dercksen,Istanbul,Nederlands Historisch-Archaeologisch Instituut,75,1996,1–44
"Dercksen, J. G. - When We Met in Hattuš. FS Veenhof 2001.pdf",WHEN WE MET IN ijATTUS,J.G. Dercksen,Leiden,VEENHOF ANNIVERSARY VOLUME,,2001,40
"Dercksen, J. G. ed - Anatolia and the Jazira During the Old Assyrian Period. PIHANS 111, 2008 (2).pdf",Anatolia and the Jazira during the Old Assyrian period,J.G. Dercksen,Leiden,Uitgaven van het Nederlands Instituut voor het Nabije Oosten,1,2008,239–244
"Dercksen, J. G. ed - Anatolia and the Jazira During the Old Assyrian Period. PIHANS 111, 2008.pdf",Anatolia and the Jazira during the Old Assyrian Period,J. G. Dercksen,Leiden,Uitgaven van het Nederlands Instituut voor het Nabije Oosten,1,2008,239
"Dercksen, J. G. ed. - Assyria and Beyond, Studies Presented to Mogens Trolle Larsen, FS Larsen. PIHANS 100, 2004 (2).pdf",Assyria and beyond : studies presented to Mogens Trolle Larsen,J.G. Dercksen,Leiden,Nederlands Instituut voor het Nabije Oosten,,2004,
"Dercksen, J. G. ed. - Assyria and Beyond, Studies Presented to Mogens Trolle Larsen, FS Larsen. PIHANS 100, 2004.pdf",Assyria and beyond : studies presented to Mogens Trolle Larsen,J.G. Dercksen,Leiden,Nederlands Instituut voor het Nabije Oosten,,2004,
"Dercksen, J. G. ed. - Trade and Finance in Ancient Mesopotamia, MOS 1. PIHANS 84, 1997 (2).pdf",Trade and Finance in Ancient Mesopotamia; Proceedings of the First MOS Symposium (Leiden 1997),J.G. Dercksen,Istanbul,Uitgaven van het Nederlands Historisch-Archaeologisch Instituut,84,1999,1–195
"Dercksen, J. G. ed. - Trade and Finance in Ancient Mesopotamia, MOS 1. PIHANS 84, 1997.pdf",Trade and Finance in Ancient Mesopotamia,J.G. Dercksen,Istanbul,Uitgaven van het Nederlands Historisch-Archaeologisch Instituut,84,1999,1–195
"Dercksen, J.G. - Boekbespreking. Die altassyrischen Privaturkunden. OLZ 91-92, 1996-97 502-508 (redo).pdf",,,,,,1996-1997,
"Dercksen, J.G. et al. - Veenhof Anniversary Volume. PIHANS 89, 2001.pdf",Veenhof Anniversary Volume - Studies Presented to Klaas R. Veenhof on the Occasion of his Sixty-Fifth Birthday,"W.H. van Soldt, J.G. Dercksen, N.J.C. Kouwenberg, Th.J.H. Krispijn",Leiden,Nederlands Instituut voor het Nabije Oosten,89,2001,1–361
Dercksen_1997_ArAn3_BilgicFS_ikribu.pdf,THE SILVER OF THE GODS,Jan-Gerrit DERCKSEN,,,,1997,
Dercksen_1998_JESHO41_rev_AKT.pdf,Ankara Kiiltepe Tabletleri I,"E. Bilgiç, H. Sever, C. Günbattı, S. Bayram",Ankara,"Atatürk Kültür, Dil ve Tarih Yüksek Kurumu",,1990,"xxi + 185 p.  
Ankara Kiiltepe Tabletleri II"
Dercksen_1999_MOS1_financing.pdf,TRADE AND FINANCE IN ANCIENT MESOPOTAMIA,J.G. Dercksen,Leiden,PROCEEDINGS OF THE FIRST MOS SYMPOSIUM,1,1999,86
Dercksen_2000_MOS2_instit_private.pdf,Institutional and Private in the Old Assyrian Period,J.G. Dercksen,Leiden,,,2000,
Dercksen_2001_2002_AfO48_49_rev_ICK4.pdf,Kappadokische Keilschrifttafeln aus den Sammlungen der Karlsuniversitat Prag,"Karl Hecker, Guido Kryszat, Lubor Matou§",Praha,Archiv für Orientforschung,48/49,2001/2002,183–183
Dercksen_2001_2002_AfO48_49_rev_Michel_Correspondence.pdf,Correspondance des marchands de Kanis au debut du lie millenaire avant J.-C.,Cecile Michel,Paris,Litteratures anciennes du Proche-Orient,19,2001,601 pp.
Dercksen_2001_2_AfO48_9_rev_ICK4.PDF.pdf,"Reallexikon der Assyriologie und Vorderasiatischen Archäologie, Band 9. Nab-Nuzi","Michael P. Streck, D.O. Edzard, G. Frantz-Szabó",München,Archiv für Orientforschung,48/49,2001/2002,647 pp.
Dercksen_2001_2b_AfO48_9_rev_Michel_Correspondance.pdf,"Cecile Michel, Correspondance des marchands de Kanis au debut du lie millenaire avant J.-C.",Cecile Michel,Paris,Litteratures anciennes du Proche-Orient,19,2001,601 pp.
Dercksen_2001a_VeenhofFS_when_we_met.pdf,WHEN WE MET IN ijATTUS,J.G. Dercksen,Leiden,VEENHOF ANNIVERSARY VOLUME,,2001,
Dercksen_2004_LarsenFS_society.pdf,SOME ELEMENTS OF OLD ANATOLIAN SOCIETY IN KANIS,Jan Gerrit Dercksen,,,,2004,
Dercksen_2005_JEOL39_Adad_king.PDF.pdf,ADAD IS KING! THE SARGON TEXT FROM KUL TEPE,J.G. Dercksen,Leiden,"JAARBERICHT ""EX ORIENTE LUX""",39,2005,108
"Dercksen_2008_AOF 35-1_Subsistence, surplus and the market for grain and meat at ancient Kanesh.pdf",Alimentation of the Anatolians and Assyrian Merchants,Jan Gerrit Dercksen,,Altorientalische Forschungen,35,2008,86-102
Dercksen_2014_DocumentarySources.pdf,The Old Assyrian Trade and its Participants,Jan Dercksen,Leiden University,Documentary Sources in Ancient Near Eastern and Greco-Roman Economic History,,2014,59–
Dercksen_2015_Anatolica41.pdf,Anatolica,Klaas R. Veenhof,Leiden,Anatolica,41,2015,1-240
Dercksen_2015_SUBARU_35.pdf,Proceedings of the 1st Kültepe International Meeting,Fikri Kulakoğlu & Cécile Michel,Kültepe,Subartu,XXXV,2013,1-249
Dercksen_2016_PIHANS128.pdf,"Silver, Money and Credit. A Tribute to Robartus J. van der Spek on the Occasion of his 65th Birthday","Kristin Kleber, Reinhard Pirngruber",Leiden,PIHANS,128,2016,1-239
Dercksen_Donbaz_2000_jeol35-36_distress.PDF.pdf,MERCHANTS IN DISTRESS AN OLD ASSYRIAN TEXT MENTIONING habbiitu,J.G. DERCKSEN and V. DONBAZ,Leiden and Istanbul,"JAARBERICHT ""EX ORIENTE LUX""",35-36,1997-2000,104-105
Diakonoff_1979_ArOr47_I568.pdf,Some Remarks on I 568,I. M. Diakanatt,Leningrad,Archiv Orientalni,47,1965,1–17
"Donbaz, Veysel - An Old Assyrian Treaty from Kültepe. JCS 57, 2005 63-68.pdf",An Old Assyrian Treaty from Kültepe,Veysel Donbaz,Istanbul,Journal of Cuneiform Studies,57,2005,63-68
"Donbaz, Veysel - Four Old Assyrian Tablets from the City of Assur. JCS 26, 1974 81-87.pdf",Four Old Assyrian Tablets from the City of Aššur,Veysel Donbaz,Istanbul,Journal of Cuneiform Studies,26,1974,81-87
"Donbaz, Veysel - Keilschrifttexte in den Antiken-Museen zu Stambul. FAOSB 2, 1989.pdf",Keilschrifttexte in den Antiken-Museen zu Stambul II,Veysel Donbaz,Stuttgart,Freiburger Altorientalische Studien,2,1989,
Donbaz_1971_JCS24_month_Kanwarta.pdf,The Old Assyrian Month Name Kanwarta,Veysel Donbaz,Istanbul,Journal of Cuneiform Studies,24,1971,24-28
Donbaz_1974_JCS26_4_from_Assur.pdf,Four Old Assyrian Tablets from the City of Assur,Veysel Donbaz,Istanbul,Journal of Cuneiform Studies,26,1974,81-87
Donbaz_1979_LarocheFS_syrian_tablet.pdf,Another Old Assyrian Tablet from the City of Assur,Veysel Donbaz,,,,1979,
Donbaz_1984a_AfO31_adana.pdf,A Kultepe Text from the Museum at Adana,Veysel Donbaz,Istanbul,,,1984,
Donbaz_1984b_JEOL28_kanwarta.pdf,NEW EVIDENCE ON THE READING OF THE OLD ASSYRIAN MONTH-NAME KANWARTA,VEYSEL DONBAZ,ISTANBUL,JAARBERICHT EX ORIENTE LUX,28,1983-1984,3
Donbaz_1985_Akk42_more_tablets.pdf,MORE OLD ASSYRIAN TABLETS FROM ASSUR,v. Donbaz,Istanbul,AKKADICA,42,2023,1–20
Donbaz_1986_CRRAI32_BBVO6_Ankara.pdf,Publication of The Kiiltepe Tablets Housed in Ankara,Veysel Donba,,,,1986,
Donbaz_1986_CRRAI32_Publication_of_Ankara_tablets.PDF.pdf,Publication of The Kiiltepe Tablets Housed in Ankara,Veysel Donbaz,,,,1986,
Donbaz_1987_ArAn15_rev_AKT2.PDF.pdf,Ankara Kultepe Tabletleri II,Emin Bilgiç; Sabahattin Bayram,Ankara,Turk Tarih Kurumu Yayınları,VI,1987,1-134
Donbaz_1988a_AfO35_Ased.pdf,"The Business of Ased, an Anatolian Merchant",Veysel Donbaz,Istanbul,Archiv für Orientforschung,xxxv,1988,33-41
Donbaz_1989_OzgucTFS_IbContracts.pdf,SOME REMARKABLE CONTRACTS OF I-B PERIOD KULTEPE TABLETS,VEYSEL DONBAZ,,,,1989,
Donbaz_1989b_SjobergFS_bread.pdf,Old Assyrian Terms for Bread,Veysel Donbaz,Istanbul,,,1989,
Donbaz_1990a_TTK10_Overview_1b_Turkish.pdf,KULTEPE I-B KATI TABLETLERiNE GENEL BAKI~,VEYSEL DONBAZ,,,,1990,
Donbaz_1991a_RA85_Innaya.pdf,A SMALL ARCHIVE OF INN!YA-AN ASSYRIAN MERCHANT,Veysel DONBAZ,,Revue d'Assyriologie,2,1991,
Donbaz_1992_AlpFS_house_of_kings.pdf,"The ""House of Kings"" in the city of ASsur",VEYSEL DONBAZ,istanbul,,,1992,
Donbaz_1993_OsgucNFS_IbContracts.pdf,SOME REMARKABLE CONTRACTS OF I-B PERIOD KULTEPE TABLETS II,VEYSEL DONBAZ,istanbul,,,1993,
Donbaz_1996a_AMMK1995_OA_social_life.pdf,KULTEPE TABLETLERi I~IGINDA,Veysel DONBAZ,Istanbul,,,1996,1760 YILLARINDA
Donbaz_1996b_AnAr15_rev_AKT2.pdf,1969 Golliidag KaZlsl,B. Tezcan,Ankara,Turk Arkeoloji Dergisi,XXX,1996,1-29
Donbaz_1998a_AoF25_spear.pdf,Inscribed Spear Heads and Some Tablets at the Gaziantep Archaeological Museum,Veysel Donbaz,,Altorientalische Forschungen,,1998,
Donbaz_1998b_UHKB3_istanbul_coll.pdf,ASSUR COLLECTION HOUSED IN iSTANBUL,Veysel DONBAZ,,,,1998,
Donbaz_1998c_CRRAI34_warsuma.pdf,TABLETS FROM THE PALACE OF WARSUMA,Veysel Donbaz,Istanbul,,,1998,
Donbaz_1999_CRRAI41_Onions.pdf,Grundpfandbestellung und Feldabgabe,M. Sigrist,Rochester,,,1999,
Donbaz_2001a_VeenhofFS_mahar_patrim.pdf,MAfJAR PATRIM SA ASSUR - A NEW INTERPRETATION,Veysel Donbaz,Istanbul,VEENHOF ANNIVERSARY VOLUME,1,2001,84
Donbaz_2001b_ACIH4_1b_tablets.pdf,Some Recently Discovered Karum I-b Tablets,Veysel Donbaz,Istanbul,,,2001,
Donbaz_2003_KienastFS_lamnis.pdf,Lamnis ulii ezebsi,Veysel Donbaz,Istanbul,,,2003,
Donbaz_2004_LarsenFS_rare.pdf,SOME OLD ASSYRIAN TEXTS WITH RARE TERMINOLOGY,Veysel Donbaz,,,,2004,
Donbaz_2006_ErkanalFS_Onomasticon.pdf,Some Rarely Attested Old Assyrian Onomastics from the Unpublished Sources,Veysel Donbaz,,,,2006,274
Donbaz_2008_FSErkanal_OA_Onomastics.pdf,Some Rarely Attested Old Assyrian Onomastics from the Unpublished Sources,VEYSEL DONBAZ,,Studies in Honor of Hayat Erkanal,,2008,274
Donbaz_Horansanli_1976_Bel40_Bursa.PDF.pdf,BURSA ARKEOLO]i MUZESiNDE KULTEPE TABLETLERI,VEYSEL DONBAZ - ERGiN HORASANLI,Bursa,,XL,1976,158
Donbaz_Joannes_1982_Mem_Ataturk_nouvelle.PDF.pdf,NOUVELLES LECTURES DE TEXTES CAPPADOCIENS,V. Donbaz et F. Joannes,Istanbul,,,1982,
Donbaz_Veenhof_1985_Anat12_New_evid_terms.pdf,NEW EVIDENCE FOR SOME OLD ASSYRIAN TERMS,V. Donbaz - K.R. Veenhof,,ANATOLICA,XII,1985,131–132
Donbaz_Veenhof_1985_Anatolica12_new_evidence.pdf,NEW EVIDENCE FOR SOME OLD ASSYRIAN TERMS,V. Donbaz - K.R. Veenhof,,,,1985,
Drew_1995_pubprivlaw.pdf,,,,,Chi.-Kent L. Rev.,1995,1994-1995
"Driel, G. van - The Role of Nomadism in a Model of Ancient Mesopotamian Society. JEOL 35-36, 1997-00 85-101.pdf",THE ROLE OF NOMADISM IN A MODEL OF ANCIENT MESOPOTAMIAN SOCIETY,G. VAN DRIEL,Leiden,"JAARBERICHT ""EX ORIENTE LUX""",35-36,1997-2000,86
Driver_1927a_Babylonica10_Studies.pdf,Die 'erkelll·~la!.;e llwi da..;\n\Ve;.;el\(~lh,TAESC1L'<ER (F.),,Peter's MilL.,LXXII,1926,202-206
Driver_1927b_RA24_studies.pdf,REVUE D'ASSYRIOLOGIE ET D'ARCHEOLOGIE ORIENTALE,G. R. DRIVER,Oxford,,XXIV,1927,1–10
Driver_1929_ZA38_Studies.pdf,Chronologie Adad-niraris II.,E. Forrer,,,,1929,
Duara_2001_JWH12_Discourse&Pan-Asianism.pdf,The Discourse of Civilization and Pan-Asianism,Prasenjit Duara,University of Chicago,Journal of World History,12,2001,99–101
Dutton_2002_ProjectMuse_lead_us_not_into_translation.pdf,"Globalization, Translation, and the Limits of Area Studies",Michael Dutton,,Nepantla: Views from South,3.3,2002,495–496
"EL 1, 1930.pdf",Die altassyrischen Rechtsurkunden vom Kültepe,Georg Eisser und Julius Lewy,Tübingen,Mitteilungen der Vorderasiatischen Gesellschaft,33,1930,1-290
"EL 2, 1935.pdf",DIE ALTASSYRISCHEN RECHTSURKUNDEN VOM KULTEPE,GEORG EISSER UND JULIUS LEWY,LEIPZIG,MITTEILUNGEN DER VORDERASIATISCHEN ÄGYPTISCHEN GESELLSCHAFT (E. V.),35,1935,291-341
ERKANAL ARMAĞANI.PDF,"KULTURI,ERiN YANSIMAsI",Hayat Erkanal,Istanbul,Studies in Honor of Hayat Erkanal,,2006,
EROL_2012_BİR KÜLTEPE METNİNE GÖRE ESKİ ASUR DEVRİNDE SUBARTU (2).pdf,Bir Kültepe Metnine Göre Eski Asur Devrinde Subartu Bölgesi,Hakan EROL,Ankara,DTCF Dergisi,52,2012,120
EROL_2014_1992 YILINDA BULUNMUŞ BİR GRUP KÜLTEPE TABLETİ.pdf,1992 YILINDA BULUNMUŞ BİR GRUP KÜLTEPE TABLETİ,Hakan EROL,Ankara,ARCHIVUM ANATOLICUM,9,2006,27-56
"Ebeling, E. - Altbabylonische Briefe der Louvre-Sammlung Aus Larsa (MAOG 15.1 1942).pdf",Altbabylonische Briefe der Louvre-Sammlung aus Larsa,Erich Ebeling,Leipzig,Mitteilungen der Altorientalischen Gesellschaft,XV,1942,2-Jan
"Edwards, I.E.S. ed. - Early History of the Middle East. CAH  1.2, 1971.pdf",The Cambridge Ancient History,"I. E. S. Edwards, C. J. Gadd, N. G. L. Hammond, Henri Frankfort, Leri Davies, W. Stevenson Smith, R. de Vaux, Max E. L. Mallowan",Cambridge,Cambridge University Press,1,2008,
Edzard_2005_ZA95_obituary.pdf,Nachruf,Dietz Otto Edzard,Bremen,Zeitschr. f. Assyriologie,95,2005,1–6
Edzard_Hecker_1970_MDOG102_sallim-ahhum.pdf,Ein Brief aus der altassyrischen Korrespondenz,"Dietz Otto Edzard, Karl Hecker",München,MDOG,102,1970,86-87
Eidem_1991_GarelliFS_treaty.pdf,An Old Assyrian Treaty from Tell Leilan,Jesper EIDEM,Copenhagen,Melanges P. Garelli,,1991,185
Eidem_2004_LarsenFS_names_assur.pdf,IN THE NAMES OF ASSUR,Jesper Eidem,,,,2004,
Eidem_Michel_2024_SMC37_Challenges.pdf,Some Mesopotamian Challenges: A History,"Jesper Eidem, Cécile Michel",,The Ancient World Revisited: Material Dimensions of Written Artefacts,37,2024,32
"Eisser, G. & Lewy, J. - Die Altassyrischen Rechtsurkunden von Kültepe, Teil 1 und 2. MVAG 33, 1930.pdf",Die altassyrischen Rechtsurkunden vom Kültepe,Georg Eißer und Julius Lewy,Tübingen,Mitteilungen der Vorderasiatisch-Aegyptischen Gesellschaft,33,1928,1-290
Emre_1993_OsgucNFS_lead_fig.pdf,New Lead Figurines and Moulds from Kiiltepe and Kizilhamza,Kuilu Emre,Ankara,,,1993,
Emre_HroudaFS_Syrian.pdf,A Type of Syrian Pottery from Kiiltepe/Kanis,Kutlu Emre,Ankara,,,1992,
Eren_1980_ArAn8_kultepe_collection.PDF.pdf,KÜLTEPE KOLLEKSİYONU ÜZERİNDEKİ ÇALIŞMALAR,Mustafa EREN,,,,1980,
Erol KULTEPE_TABLETLERINDE_DERI_VE_DERI_TICAR.pdf,Archivum Anatolicum (Anadolu Arşivleri),Prof. Dr. Levent Kayapınar,Ankara,Archivum Anatolicum,16,2022,1–51
Erol OLD_ASSYRIAN_METAL_TRADE_ITS_VOLUME_AND.pdf,"OLD ASSYRIAN METAL TRADE, ITS VOLUME AND INTERACTIONS",Hakan Erol,Ankara,BELLETEN,LXXXIII,2019,780
Erol Old_Assyrian_Royal_Families_as_Private_E.pdf,Old Assyrian Royal Families as Private Entrepreneurs in the Anatolian Trade,Hakan Erol,Ankara,Journal of Near Eastern Studies,77,2018,47–48
Erol_2010_7. Hititoloji Kongresi.pdf,Acts of the VIIth International Congress of Hittitology,Aygül SÜEL,Çorum,VII. Uluslararası Hititoloji Kongresi Bildirileri,1,2010,1-189
Erol_2012_Alabum'un Oğlu Kuliya.pdf,Tarih Araştırmaları Dergisi,,Ankara,Tarih Araştırmaları Dergisi,XXXI,2012,52
Erol_2013_Kültepe'de Bulunan Büyü Metinleri-Aktüel Arkeoloji-35.pdf,Kültepe’de Bulunan Büyü Metinleri,Hakan Erol,Ankara,Aktüel Arkeoloji,66,2013,66–67
Erol_2014_Anadolu'nun İlk Yazılı Belgelerinde Büyü ve Kehanet.pdf,Anadolu’nun İlk Yazılı Belgelerinde Büyü ve Kehanet,Hakan EROL,Ankara,Ankara Üniversitesi Dil ve Tarih-Coğrafya Fakültesi Dergisi,54,2014,37-48
Erol_2014_Kültepe Metinlerinde Yeni Bir Yer Adı Gazabura.pdf,Tarih Araştırmaları Dergisi,Prof. Dr. Abdulkadir GÜRER,Ankara,Tarih Araştırmaları Dergisi,XXXIII,2014,56
Erol_2015 -C. Günbattı'ya Armağan.pdf,Studies in Honour of Cahit Günbattı,"İrfan Albayrak, Hakan Erol, Murat Çayır",Ankara,,,2015,
Erol_2015_ Archive of Shu-Ishtar Son of Ashur-bani_SUBA_35_.pdf,Proceedings of the 1st Kültepe International Meeting,Fikri Kulakoğlu & Cécile Michel,Kültepe,Subartu,XXXV,2013,1-249
Erol_2015_Eski Asur Şehir Devletinin Ticari Tekelleşme Politikası.pdf,Eski Asur Şehir Devletinin Ticari Tekelleşme Politikası,Hakan EROL,Ankara,,,2015,425-443
Erol_2016_Bir Annenin Oğlunu Evlendirme Çabası.pdf,KÜLTEPE’DEN İKİ YENİ PROSOPOGRAFİK MEKTUP: BİR ANNENİN OĞLUNU EVLENDİRME ÇABASI,Hakan EROL,,Uluslararası Sosyal Araştırmalar Dergisi,9,2016,42
Erol_2017_ Kültepe’den Bir Metne Göre Asur Bölgesinde Yaşanan Bir İsyan ve Anadolu’daki Diğer İsyanlarla İlgili Kayıtlar.pdf,Kültepe’den Bir Metne Göre Asur Bölgesinde Yaşanan Bir İsyan ve Anadolu’daki Diğer İsyanlarla İlgili Kayıtlar,Hakan Erol,Ankara,Archivum Anatolicum,11,2017,23-38
Erol_2018_Old Assyrian Royal Families as Private .....pdf,Old Assyrian Royal Families as Private Entrepreneurs in the Anatolian Trade,Hakan Erol,Ankara University,Journal of Near Eastern Studies,77,2018,47–48
Esen_1994_AMMY93_1953_tablets.pdf,MAMADIJWSI nJMULOsO I<O<;:OK BULUNTULAR II,1T.MIz..SOY,Anadolu Med. MUzesi,,,1953,5–34
"Excavations in Iraq, 1976 37.pdf","Excavations in Iraq, 1976",,,Iraq,39,1977,300-320
"FAOSB 1, 1984.pdf",Das altassyrische Kaufvertragsrecht,Burkhart Kienast,Stuttgart,Altassyrische Texte und Untersuchungen,1,1984,1-106
"Faist, Betina - Der Fernhandel des assyrischen Reiches. AOAT 265, 2001.pdf",Der Fernhandel des assyrischen Reiches zwischen dem 14. und 11. Jh. v. Chr.,Betina I. Faist,Münster,Alter Orient und Altes Testament,265,2001,
"Farber, W. - Drogerien in Babylonien und Assyrien 31.pdf",Drogerien in Babylonien und Assyrien,W. Farber,,Iraq,39,1977,223-228
Farber_1990_AuOr8_gadagada.pdf,Eine altassyrische Selbstverkaufs-Urkunde,W. Farber,Chicago,Aula Orientalis,8,1990,197
Farber_2001_VeenhofFS_silver.pdf,The Strange Case of the assat rabi sisf' e,Walter Farber,Chicago,,,2001,
"Finet, A. - Le vin a Mari (Abstract) 24.pdf",Le vin a Mari (Abstract),A. Finet,,Iraq,39,1977,161
Finkel_Larsen_1983_JCS35_txt_frag.PDF.pdf,Der dub-sar als Verwaltungsbearnter im Reiche von Sumer und Akkad zur Zeit der 3. Dynastie von Ur,N. Schneider,,Or NS,15,1946,73 no. 243
Fleming_rev_Schloen.pdf,The House of the Father as Fact and Symbol: Patrimonialism in Ugarit and the Ancient Near East,J. David Schloen,"Winona Lake, IN",Studies in the Archaeology and History of the Levant,2,2001,xv + 414 pp.
"Forlanini, Massimo - Considerazioni sullo spostamento del centro del potere nel periodo della formazione dello statio hittita. 249-269.pdf",SPOSTAMENTO DEL CENTRO DEL POTERE NEL PERIODO DELLA FORMAZIONE DELLO STATO HITTITA,,,,,2004,
Forlanini_1995_ACIH2_kings.pdf,La danza nella cultura ittita (Bothen 2),S. De Martino,Florenz,,,1989,
Forlanini_1998_geography.pdf,THE GEOGRAPHY OF HITTITE ANATOLIA IN THE LIGHT OF THE RECENT EPIGRAPHICAL DISCOVERIES,Massimo FORLANINI,,,,1998,
Forlanini_Nocera_1992_ASVOA_Anatolia_2000-1500BC.pdf,ANATOUA: LA PRIMA META' DEL II MILLENNIO AC.,Gian Maria Di Nocera e Massimo Forlanini,Roma,ATLANTE STORICO DEL VICINO ORIENTE ANTICO,4.2,1992,
French_1993_OzgucNFS_Acemhoyuk_Colonia_Archelais_Road-Knots.pdf,"Acemh6yiik, Colonia Archelais and Road-Knots",David French,Ankara,,,1993,
"GKT, 1968.pdf",Grammatik der Kültepe-Texte,Karl Hecker,Freiburg,Analecta Orientalia,44,1968,1–300
Galter_1986_JAOS106_rev_POAT.pdf,The Pennsylvania Old Assyrian Texts,"W. C. Gwaltney, Jr.",,Journal of the American Oriental Society,106,1986,567-568
Galter_1996_HirschFS_gott_konig.pdf,"Gott, Konig, Vaterland Orthographisches zu Assur in altassyrischer Zeit",HANNES D. GALTER,Graz,,,1996,
Galter_1998_SAAB12_puzur-assur.pdf,TEXT ANALYSE ASSYRISCHER KONIGSINSCHRIFTEN: DIE PUZUR-ASSUR-DYNASTIE,Hannes D. GaIter,,,,1998,
"Garelli, P. - Marchands et tamkārū assyriens en cappadoce 16.pdf",Marchands et tamkārū assyriens en cappadoce,Paul Garelli,,Iraq,39,1977,99-107
Garelli_Kennedy_1960a_6Tab_Ashmolean.pdf,Seize Tablettes Cappadociennes de l' Ashmolean Museum d'Oxford,Douglas A. Kennedy; Paul Garelli,"Paris, France",Journal of Cuneiform Studies,14,1960,22-Jan
Garelli_Kennedy_1960b_RHA_prince.pdf,Un nouveau prince en Anatolie ?,P. Garelli et D. Kennedy,,RHA,66,1960,19-39
Garelli_Michel_1994_AMMY93_tablets_Ankara.pdf,ANADOLU MEDENIYETLERI MUZESINDE ZARFI ACILMAMI$ BIR TABLET,"Prof. Dr. Paul GARELLI, Dr. Cecile MICHEL",,,,1994,114
Garelli_Michel_1995_AMMY94_honey.pdf,HONEY IN A NEWLY DISCOVERED OLD ASSYRIAN TABLET,"Paul GARELLI, Cecile MICHEL",,,,1995,211
"Gelb and Sollberger - The First Legal Document from the Later Old Assyrian Period. JNES 16, 1957 163-175.pdf",The First Legal Document from the Later Old Assyrian Period,I. J. Gelb and E. Sollberger,,Journal of Near Eastern Studies,16,1957,163-175
Gelb_1942_JNES1_Unusual_tablet_Asmar.pdf,A Tablet of Unusual Type from Tell Asmar,I. J. Gelb,,Journal of Near Eastern Studies,1,1942,219-226
